accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ
204,59,-2085,-148,106,-14,7,22,1
203,54,-2093,-149,107,-9,9,19,2
199,61,-2097,-142,120,-12,6,22,1
197,57,-2083,-144,108,-10,6,21,0
205,59,-2093,-147,115,-5,6,21,-2
202,63,-2087,-151,115,-11,9,23,1
203,61,-2089,-156,116,-10,6,21,-1
202,64,-2088,-148,108,-8,7,22,-1
199,59,-2097,-141,109,-1,8,24,0
198,62,-2085,-150,114,-14,8,24,2
201,58,-2093,-152,110,-18,9,21,2
203,60,-2086,-151,119,1,8,21,1
203,64,-2090,-151,111,-7,7,20,-1
205,63,-2088,-148,118,-12,8,23,0
199,61,-2088,-150,114,-12,9,21,0
201,60,-2088,-158,112,-14,7,23,0
202,62,-2088,-143,113,-13,6,21,0
202,59,-2085,-154,120,-8,8,21,-1
205,58,-2093,-162,114,-8,8,22,3
198,61,-2086,-152,108,-10,8,23,2
202,57,-2091,-145,115,-17,5,22,1
204,62,-2090,-151,117,-13,5,21,-1
200,61,-2094,-160,108,-14,9,22,-1
198,60,-2101,-151,109,-13,10,20,-1
204,62,-2086,-154,116,-14,8,23,0
203,60,-2093,-152,120,-18,6,22,0
198,62,-2096,-148,110,-14,4,22,2
202,64,-2086,-145,113,-7,6,22,-1
201,59,-2090,-148,104,-12,7,21,0
201,62,-2097,-157,113,-9,8,21,1
205,61,-2086,-148,106,-12,8,22,1
203,62,-2091,-148,110,-12,6,23,-2
202,59,-2091,-148,106,-24,7,22,1
200,63,-2086,-153,115,-15,7,23,2
203,56,-2086,-154,118,-14,7,23,-1
202,57,-2092,-152,116,-12,7,24,1
199,59,-2096,-154,108,-12,7,19,0
203,61,-2089,-148,116,-18,8,21,0
204,59,-2093,-155,117,-13,10,23,-1
199,65,-2089,-158,112,-18,6,22,-1
201,62,-2091,-146,114,-8,5,23,-1
202,64,-2095,-154,118,-10,6,21,1
200,58,-2091,-150,106,-4,6,21,1
200,62,-2090,-144,108,-16,9,21,0
204,62,-2089,-159,115,-13,6,23,-1
201,61,-2090,-152,114,-12,6,21,0
203,61,-2081,-157,109,-15,5,24,1
205,56,-2087,-147,103,-15,7,23,0
200,62,-2086,-151,107,-15,7,19,2
198,60,-2095,-154,108,-8,4,21,3
196,59,-2092,-150,112,-10,6,22,0
203,61,-2096,-145,117,-15,8,23,2
199,62,-2084,-151,113,-13,8,21,2
204,62,-2094,-155,117,-15,5,20,0
197,60,-2087,-144,110,-18,9,19,0
202,66,-2089,-157,113,-7,6,21,0
199,62,-2089,-148,122,-12,7,22,0
201,62,-2094,-153,115,-11,10,23,0
201,62,-2086,-142,112,-10,7,25,2
200,59,-2087,-144,106,-12,8,22,1
198,60,-2093,-153,117,-13,7,24,-1
198,59,-2088,-148,112,-16,5,20,2
198,60,-2094,-150,108,-16,6,21,2
199,61,-2085,-159,111,-15,9,23,-2
201,61,-2088,-143,107,-11,8,22,2
204,59,-2092,-143,107,-7,5,22,-1
202,66,-2091,-149,111,-11,9,23,1
203,63,-2087,-154,110,-6,7,24,0
202,61,-2085,-141,113,-11,6,22,0
198,61,-2091,-150,120,-2,9,22,-1
203,62,-2094,-148,110,-18,9,22,1
204,63,-2089,-158,104,-16,9,22,-3
202,63,-2085,-146,114,-6,7,23,0
198,61,-2098,-147,117,-13,4,20,0
202,61,-2085,-147,109,-11,5,22,1
202,58,-2094,-152,106,-12,5,23,-1
200,66,-2088,-157,111,-9,8,22,-2
203,64,-2094,-151,111,-21,9,21,0
204,64,-2094,-153,111,-21,10,23,0
199,63,-2087,-152,108,-16,6,24,2
200,64,-2085,-151,107,-11,8,23,-1
199,61,-2090,-160,110,-18,10,23,1
197,61,-2095,-151,113,-13,5,22,0
