accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ
717,-331,3052,30,470,342,-10631,1985,3013
118,-156,2222,46,490,326,-13718,6188,5285
-297,-608,1517,63,493,315,-14029,9493,4296
-569,-548,1859,79,517,295,-12624,9684,3194
-1006,-251,911,94,524,262,-12825,8797,1330
-111,-1332,1346,101,541,239,-10472,6156,1372
-1354,-958,586,105,541,223,-8956,6066,1491
-767,-1069,501,112,544,200,-8178,3567,-1469
-410,-1364,970,122,542,186,-9201,5161,-1644
92,-927,840,119,553,143,-9474,15263,-1525
89,-937,40,125,549,93,-11820,21265,-861
-166,-780,-403,116,538,36,-13102,19983,370
355,-297,-1113,101,515,-15,-13634,16065,-1145
216,-1098,-2213,87,491,-39,-14255,8485,-714
918,-489,-1842,54,478,-52,-12502,5986,783
1172,104,-1458,37,465,-63,-11118,9726,1503
799,-208,-1412,10,438,-68,-11147,12672,1799
-983,-446,-2248,-26,400,-86,-14437,10639,4234
409,-11,-3352,-60,384,-78,-10254,1893,1674
1356,113,-1853,-64,388,-62,-5735,324,973
1262,225,-2879,-84,366,-64,-5682,6054,1565
217,-506,-3649,-86,372,-60,-1815,41,-230
-816,-181,-2152,-92,376,-60,2476,-6273,-1288
-100,497,-1070,-86,406,-54,885,-6953,-2216
904,171,-1229,-77,405,-49,-920,-849,-4312
502,198,-2259,-71,411,-59,-1942,1002,-1379
126,451,-2836,-74,412,-54,-346,947,-1376
-18,530,-3066,-79,417,-55,1131,-341,-2247
-17,327,-2763,-67,419,-55,3132,-174,-2009
-22,-102,-1538,-61,417,-57,5987,-1016,-1307
110,-217,-1129,-45,423,-61,4726,-2314,-1409
615,-171,-1891,-39,431,-61,3117,-465,-2340
777,53,-2507,-28,438,-76,3179,430,-2567
153,-62,-2802,-17,427,-71,4638,1218,-1587
-403,-578,-2251,-9,433,-75,6197,-1261,-2232
211,-679,-1202,12,438,-74,6850,-923,-2806
1226,-500,-1282,19,445,-71,5015,87,-2355
1211,-400,-1427,37,441,-73,3758,2777,-317
154,-718,-1574,47,427,-83,2227,4062,731
-72,-1124,-1166,49,415,-85,1739,5091,-41
164,-1308,-1728,43,399,-91,-375,3595,244
491,-1175,-2394,43,401,-89,-2329,17,721
984,-701,-2545,44,408,-102,1854,1158,1332
359,-1030,-2032,51,403,-95,3661,394,1767
127,-1194,-899,58,416,-92,3289,-1157,761
204,-1215,-1689,57,397,-99,1105,-687,-619
450,-964,-2087,65,403,-95,1201,-1499,-1232
843,-690,-1905,69,413,-85,1581,-2714,-1670
934,-719,-1427,76,418,-84,2228,3,-1329
493,-958,-1477,82,410,-94,1927,2982,-717
396,-1116,-1738,94,410,-90,1562,3562,-811
305,-1371,-2041,78,396,-98,949,1717,-471
344,-1621,-1407,84,396,-94,867,-843,-330
419,-1719,-1276,96,398,-90,-192,338,396
373,-1537,-1329,78,398,-90,-1535,-351,699
468,-1343,-1262,80,396,-94,-2357,99,52
633,-935,-1276,76,392,-96,-2738,2284,-1163
800,-821,-1600,68,390,-102,-4187,2484,-2123
